names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SPP1,11.996637,-0.6852632,3.700271714217564e-33,1.2429436194401952e-32,0.35298588885656096
FABP5,11.636766,0.99327534,2.6798272948837207e-31,8.911983794613305e-31,0.03935117835321501
LTB,11.610116,0.50336957,3.6611923273477954e-31,1.2095226137541726e-30,0.06795897585103287
ETV5,11.5849,0.813746,4.915417790904362e-31,1.613224002850907e-30,0.04500654640675007
IL4R,11.543626,0.6851795,7.950191862577556e-31,2.6007000177908938e-30,0.04937809135874309
CCL21,11.348905,0.5606315,7.509769062195489e-30,2.4327763207953673e-29,0.04924716322374163
BMP1,11.308774,0.66603374,1.1873724108230285e-29,3.834063816883392e-29,0.049934535932499274
MERTK,11.187892,0.6721233,4.6741454951022166e-29,1.4853395684435932e-28,0.051120162932790224
TGFB3,11.079364,0.6661646,1.579903374533259e-28,4.988906239456758e-28,0.04977814954902531
HLA-DQB1/2,10.99431,0.340873,4.070115265745103e-28,1.2811903713870591e-27,0.07446901367471633
CD55,10.98614,0.49899125,4.455769415374489e-28,1.3981897131002709e-27,0.07011201629327903
IGHG2,10.981074,1.9958111,4.7128647067169295e-28,1.4696503337768368e-27,0.040231306371835904
SELENOP,10.917744,0.20942917,9.482214206274296e-28,2.9477318076026615e-27,0.2025676462030841
GPER1,10.722577,0.652903,7.974987344291954e-27,2.4638772628506934e-26,0.05124745417515275
FLT3LG,10.71322,0.8408958,8.823879659876817e-27,2.7177549352420596e-26,0.03967849869071865
ANXA1,10.623671,0.45708773,2.312829645601868e-26,7.058361205022774e-26,0.07541460576083794
CD4,10.528211,0.7340085,6.403994598854371e-26,1.930842949835309e-25,0.045573901658423045
C1QC,10.433064,0.6542574,1.7514643410241498e-25,5.249149117859802e-25,0.0675880128018621
AXL,10.191066,0.6726302,2.1736715714619337e-24,6.437411961637265e-24,0.04491926098341577
SEMA3A,10.145365,0.758942,3.474780832261059e-24,1.0230163567921528e-23,0.042046115798661625
FES,10.051013,0.56051373,9.092795947455019e-24,2.6536118785429955e-23,0.05332411987198138
RARRES1,10.032076,1.006574,1.1017506854307812e-23,3.2059663840587556e-23,0.03343395402967705
PNOC,10.029551,0.99741083,1.1302984554113879e-23,3.27950363439652e-23,0.03303753273203375
SLPI,10.012887,1.0726991,1.3378977007863627e-23,3.8706231170148814e-23,0.04324629036950829
ADGRG6,9.942501,0.8876443,2.719132181797654e-23,7.843951913485452e-23,0.03460867035205121
HAVCR2,9.896947,0.9757361,4.291780104631481e-23,1.2309661560848458e-22,0.03335757928425953
FZD5,9.823845,0.72517943,8.88872040754947e-23,2.5349313754863304e-22,0.04208248472505092
CALM3,9.740878,0.17452289,2.0180343414945906e-22,5.722527976872762e-22,0.16855906313645622
RARA,9.70397,0.30324918,2.8998993988054344e-22,8.176899431561239e-22,0.08991853360488798
HCAR2/3,9.66469,0.8952041,4.259086364475795e-22,1.1975689468652446e-21,0.033939482106488214
H2AZ1,9.566978,0.30635074,1.1007515342790671e-21,3.086420968664835e-21,0.09192973523421588
CYTOR,9.530569,0.43276486,1.564229040610782e-21,4.3615411410902304e-21,0.06229269711958103
CLCF1,9.509893,0.46595982,1.9085869143196347e-21,5.3069319478720954e-21,0.057597468722723304
IL34,9.456442,0.73379016,3.186009898160571e-21,8.83433769545355e-21,0.03919479196974105
OAS1,9.350489,0.59411544,8.724399849194434e-21,2.3992099585284693e-20,0.049574483561245275
PGF,9.340416,0.8981965,9.595660317590655e-21,2.6315769802488346e-20,0.0336521675880128
DDR2,9.28036,0.5842299,1.6890599640302833e-20,4.61953285244348e-20,0.04731597323247018
WNT7B,9.17838,0.5725749,4.376235421677728e-20,1.1903836024726646e-19,0.046461303462321794
FCGR3A/B,9.100763,0.7300599,8.969927689251451e-20,2.4201880369112404e-19,0.03766729706139075
CACNA1C,9.036949,0.64595777,1.6110512042567516e-19,4.311931164334247e-19,0.040005819028222284
ANGPT1,9.02991,0.4944653,1.7181284707839462e-19,4.586257598012613e-19,0.05421879546115799
DUSP6,8.990026,-0.10881474,2.4717025966738698e-19,6.56279654978924e-19,0.1605506255455339
ADGRG3,8.922672,0.9054386,4.551701312533521e-19,1.2053579401709141e-18,0.03127727669479197
COL5A3,8.869403,0.8308094,7.353893933511159e-19,1.94228174866614e-18,0.03448501600232761
TIMP1,8.764508,0.28052834,1.8759383211579106e-18,4.9286463503387625e-18,0.11011056153622345
